Gene Name	Systematic Name	Motif ID	Sub Motif	Logo	Total Score	DBDs	Expert Confidence	Method Description	Reference	Dubious?	Ranksum GO P	Ranksum GO AUROC	Ranksum GO Term	Mean ChIP chip Score	Mean Expression Score	Concurrence	Add to Cart
TBS1	YBR150C	1899	0		4.31	Zinc cluster		ChIP-chip	17947326		2.09	0.427	GO:0031505	0.36	1.85	0.00	Add
TBF1	YPL128C	492	0		14.46	Myb/SANT		PBM	19111667		3.19	0.434	GO:0003723	0.00	0.74	10.53	Add
TBF1	YPL128C	770	0		10.40	Myb/SANT		in vitro selection (CAST), confirmed with EMSA	10871401		2.67	0.441	GO:0003723	0.00	0.99	6.73	Add
TBF1	YPL128C	796	0		8.70	Myb/SANT		PBM	19158363		2.22	0.431	GO:0006091	0.00	0.43	6.04	Add
TBF1	YPL128C	2248	0		8.22	Myb/SANT		ChIP-chip	20231876		1.46	0.544	GO:0044255	0.00	0.53	6.24	Add
TBF1	YPL128C	1316	0		6.52	Myb/SANT		Conservation	12748633		3.15	0.372	GO:0006997	0.00	0.07	3.30	Add
SWI6	YLR182W	2009	0		56.90			ChIP-chip	17947326	Dubious	10.63	0.618	GO:0005694	31.67	4.21	10.40	Add
SWI6	YLR182W	1961	0		55.53			ChIP-chip	17947326	Dubious	12.76	0.621	GO:0006259	28.39	2.36	12.02	Add
SWI6	YLR182W	700	0		54.65			ChIP-chip	16522208	Dubious	9.42	0.590	GO:0007049	33.80	6.83	4.61	Add
SWI6	YLR182W	367	0		52.31			ChIP-chip	15343339	Dubious	14.83	0.641	GO:0005694	30.37	2.94	4.17	Add
SWI6	YLR182W	1898	0		51.97			ChIP-chip	17947326	Dubious	11.07	0.598	GO:0007049	26.21	2.49	12.19	Add
SWI6	YLR182W	911	0		41.06			ChIP-chip	18325926	Dubious	9.81	0.606	GO:0006259	23.71	3.04	4.49	Add
SWI6	YLR182W	1588	0		28.71			ChIP-chip, conservation, combination of existing motifs	17130146	Dubious	8.01	0.601	GO:0005694	16.58	1.14	2.99	Add
SWI6	YLR182W	1132	0		24.36			ChIP-chip	17500587	Dubious	7.50	0.591	GO:0006259	8.58	2.31	5.97	Add
SWI6	YLR182W	1962	0		20.34			ChIP-chip	17947326	Dubious	2.35	0.550	GO:0005694	13.15	1.34	3.50	Add
SWI6	YLR182W	1315	0		8.52			Conservation	12748633	Dubious	2.00	0.399	GO:0016853	0.74	0.50	5.28	Add
SWI6	YLR182W	1268	0		3.03			ChIP-chip	12399584	Dubious	2.19	0.556	GO:0030427	0.32	0.51	0.00	Add
SWI5	YDR146C	591	0		19.07	C2H2 ZF,C2H2 ZF,C2H2 ZF		ChIP-chip	16522208		2.04	0.456	GO:0042254	11.68	0.74	4.61	Add
SWI5	YDR146C	1573	0		14.75	C2H2 ZF,C2H2 ZF,C2H2 ZF		ChIP-chip, conservation, combination of existing motifs	17130146		2.35	0.288	GO:0032196	6.77	0.88	4.76	Add
SWI5	YDR146C	1314	0		12.34	C2H2 ZF,C2H2 ZF,C2H2 ZF		Conservation	12748633		4.10	0.649	GO:0006997	3.27	0.63	4.33	Add
SWI5	YDR146C	901	0		8.22	C2H2 ZF,C2H2 ZF,C2H2 ZF		ChIP-chip	18325926		5.54	0.422	GO:0042254	1.59	1.09	0.00	Add
SWI5	YDR146C	2059	0		8.18	C2H2 ZF,C2H2 ZF,C2H2 ZF		alignments of various mapped sites	10487868		1.87	0.464	GO:0005515	0.55	0.67	5.09	Add
SWI5	YDR146C	1897	0		5.54	C2H2 ZF,C2H2 ZF,C2H2 ZF		ChIP-chip	17947326		2.14	0.700	GO:0032196	2.88	0.53	0.00	Add
SWI5	YDR146C	1131	0		4.20	C2H2 ZF,C2H2 ZF,C2H2 ZF		ChIP-chip	17500587		2.30	0.618	GO:0004721	1.48	0.42	0.00	Add
SWI5	YDR146C	2008	0		3.69	C2H2 ZF,C2H2 ZF,C2H2 ZF		ChIP-chip	17947326		2.38	0.408	GO:0007114	1.20	0.11	0.00	Add
SWI5	YDR146C	1267	0		2.56	C2H2 ZF,C2H2 ZF,C2H2 ZF		ChIP-chip	12399584		1.75	0.471	GO:0016740	0.68	0.13	0.00	Add
SWI4	YER111C	1896	0		39.54	APSES		ChIP-chip	17947326		12.71	0.630	GO:0005694	16.16	1.61	9.06	Add
SWI4	YER111C	2007	0		36.23	APSES		ChIP-chip	17947326		9.15	0.602	GO:0006259	15.12	1.98	9.98	Add
SWI4	YER111C	1953	0		36.11	APSES		ChIP-chip	17947326		11.38	0.614	GO:0006259	15.72	1.52	7.50	Add
SWI4	YER111C	887	0		32.30	APSES		ChIP-chip	18325926		5.95	0.601	GO:0030427	14.78	1.57	9.99	Add
SWI4	YER111C	1443	0		31.92	APSES		ChIP-chip	11206552		9.16	0.589	GO:0007049	14.10	2.66	5.99	Add
SWI4	YER111C	627	0		30.50	APSES		ChIP-chip	16522208		8.36	0.604	GO:0005694	14.50	1.15	6.49	Add
SWI4	YER111C	368	0		29.67	APSES		ChIP-chip	15343339		9.01	0.608	GO:0005694	12.24	1.46	6.97	Add
SWI4	YER111C	1955	0		29.62	APSES		ChIP-chip	17947326		5.88	0.579	GO:0051276	11.93	1.43	10.37	Add
SWI4	YER111C	1947	0		27.77	APSES		ChIP-chip	17947326		5.52	0.567	GO:0007049	12.13	1.15	8.96	Add
SWI4	YER111C	1583	0		27.47	APSES		ChIP-chip, conservation, combination of existing motifs	17130146		8.01	0.601	GO:0005694	11.53	1.20	6.74	Add
SWI4	YER111C	1946	0		27.20	APSES		ChIP-chip	17947326		7.30	0.596	GO:0005694	10.56	1.53	7.81	Add
SWI4	YER111C	1949	0		25.07	APSES		ChIP-chip	17947326		6.95	0.444	GO:0005739	9.08	1.35	7.68	Add
SWI4	YER111C	1948	0		24.58	APSES		ChIP-chip	17947326		5.76	0.584	GO:0005694	10.83	1.83	6.16	Add
SWI4	YER111C	1958	0		24.32	APSES		ChIP-chip	17947326		5.58	0.665	GO:0005618	8.92	0.88	8.94	Add
SWI4	YER111C	1956	0		20.70	APSES		ChIP-chip	17947326		3.44	0.577	GO:0005856	9.01	1.93	6.32	Add
SWI4	YER111C	1954	0		20.00	APSES		ChIP-chip	17947326		5.63	0.583	GO:0005694	7.61	1.54	5.22	Add
SWI4	YER111C	1130	0		19.60	APSES		ChIP-chip	17500587		7.82	0.593	GO:0006259	4.10	1.42	6.27	Add
SWI4	YER111C	2058	0		15.68	APSES		alignments of various mapped sites	10487868		3.62	0.560	GO:0006259	7.06	0.81	4.18	Add
SWI4	YER111C	1957	0		11.68	APSES		ChIP-chip	17947326		2.61	0.549	GO:0051276	4.79	0.85	3.43	Add
SWI4	YER111C	1313	0		8.31	APSES		Conservation	12748633		1.81	0.566	GO:0031505	0.58	0.80	5.13	Add
SWI4	YER111C	1266	0		5.69	APSES		ChIP-chip	12399584		3.03	0.529	GO:0005737	2.19	0.47	0.00	Add
SWI4	YER111C	1960	0		4.72	APSES		ChIP-chip	17947326		2.73	0.573	GO:0046483	1.01	0.98	0.00	Add
SWI4	YER111C	1950	0		3.52	APSES		ChIP-chip	17947326		1.68	0.404	GO:0007124	1.42	0.42	0.00	Add
SWI4	YER111C	1952	0		3.16	APSES		ChIP-chip	17947326		1.93	0.449	GO:0006520	0.57	0.67	0.00	Add
SWI4	YER111C	1959	0		3.08	APSES		ChIP-chip	17947326		1.60	0.333	GO:0032196	1.06	0.42	0.00	Add
SWI4	YER111C	1951	0		2.71	APSES		ChIP-chip	17947326		2.15	0.407	GO:0016050	0.10	0.47	0.00	Add
SUT2	YPR009W	2177	0		36.99	Zinc cluster		PBM	19997485		5.88	0.596	GO:0016491	26.54	0.16	4.40	Add
SUT2	YPR009W	869	0		13.02	Zinc cluster		PBM	19158363		2.06	0.555	GO:0044255	6.08	0.25	4.63	Add
SUT2	YPR009W	1895	0		7.39	Zinc cluster		ChIP-chip	17947326		1.99	0.542	GO:0005783	4.22	1.18	0.00	Add
SUT1	YGL162W	1894	0		48.60	Zinc cluster		ChIP-chip	17947326		6.01	0.623	GO:0006091	37.04	5.54	0.00	Add
SUT1	YGL162W	2089	0		45.93	Zinc cluster		PBM	22189060		2.79	0.578	GO:0051186	37.90	5.24	0.00	Add
SUT1	YGL162W	374	0		32.32	Zinc cluster		ChIP-chip	15343339		9.37	0.624	GO:0016491	17.64	5.31	0.00	Add
SUT1	YGL162W	1129	0		6.08	Zinc cluster		ChIP-chip	17500587		3.62	0.560	GO:0005783	1.26	1.20	0.00	Add
SUM1	YDR310C	850	0		72.52	AT hook		PBM	19158363		8.85	0.620	GO:0005730	48.08	5.55	10.04	Add
SUM1	YDR310C	2176	0		47.88	AT hook		PBM	19997485		8.74	0.601	GO:0042254	19.87	10.79	8.48	Add
SUM1	YDR310C	2235	0		47.18	AT hook		PBM	19997485		12.16	0.620	GO:0042254	14.63	12.26	8.13	Add
SUM1	YDR310C	892	0		37.11	AT hook		ChIP-chip	18325926		3.32	0.463	GO:0005739	22.47	2.44	8.88	Add
SUM1	YDR310C	452	0		35.67	AT hook		EMSA	12832469		1.52	0.462	GO:0005740	10.54	0.97	22.64	Add
SUM1	YDR310C	1893	0		32.14	AT hook		ChIP-chip	17947326		3.66	0.438	GO:0042254	23.21	1.01	4.25	Add
SUM1	YDR310C	1572	0		28.41	AT hook		ChIP-chip, conservation, combination of existing motifs	17130146		3.11	0.616	GO:0016050	18.78	0.86	5.67	Add
SUM1	YDR310C	679	0		27.87	AT hook		ChIP-chip	16522208		4.14	0.670	GO:0006766	15.06	2.00	6.67	Add
SUM1	YDR310C	310	0		27.03	AT hook		Microarray enrichment	12832469		1.55	0.451	GO:0005624	4.48	0.52	20.48	Add
SUM1	YDR310C	1128	0		24.56	AT hook		ChIP-chip	17500587		2.51	0.416	GO:0007126	12.75	2.67	6.63	Add
SUM1	YDR310C	311	0		12.60	AT hook		EMSA, site-turns-on-gene	10562556		1.36	0.476	GO:0016787	5.85	0.18	5.21	Add
SUM1	YDR310C	1265	0		4.35	AT hook		ChIP-chip	12399584		2.03	0.597	GO:0016779	0.33	0.07	1.92	Add
STP4	YDL048C	2175	0		22.55	C2H2 ZF		PBM	19997485		3.82	0.584	GO:0005624	15.33	0.38	3.01	Add
STP4	YDL048C	821	0		11.90	C2H2 ZF		PBM	19158363		3.91	0.576	GO:0005886	2.81	0.86	4.31	Add
STP4	YDL048C	1127	0		4.48	C2H2 ZF		ChIP-chip	17500587		3.47	0.442	GO:0005783	0.54	0.47	0.00	Add
STP4	YDL048C	604	0		3.57	C2H2 ZF		ChIP-chip	16522208		3.14	0.600	GO:0016023	0.28	0.16	0.00	Add
STP4	YDL048C	1892	0		2.87	C2H2 ZF		ChIP-chip	17947326		1.58	0.551	GO:0005933	1.16	0.13	0.00	Add
STP2	YHR006W	2234	0		132.99	C2H2 ZF		PBM	19997485		8.42	0.401	GO:0042254	110.78	11.16	2.64	Add
STP2	YHR006W	800	0		68.64	C2H2 ZF		PBM	19158363		7.25	0.607	GO:0005886	53.07	4.38	3.93	Add
STP2	YHR006W	1323	0		16.73	C2H2 ZF		Expression enrichment, Y1H, EMSA	16077013		2.93	0.558	GO:0042221	13.36	0.44	0.00	Add
STP2	YHR006W	1891	0		5.58	C2H2 ZF		ChIP-chip	17947326		2.61	0.385	GO:0007033	2.26	0.71	0.00	Add
STP2	YHR006W	1126	0		4.83	C2H2 ZF		ChIP-chip	17500587		2.26	0.610	GO:0016853	1.33	1.25	0.00	Add
STP2	YHR006W	308	0		3.99	C2H2 ZF		EMSA, mutational analysis	10648791		2.53	0.461	GO:0006950	1.17	0.29	0.00	Add
STP2	YHR006W	1264	0		3.19	C2H2 ZF		ChIP-chip	12399584		2.34	0.578	GO:0031505	0.38	0.46	0.00	Add
STP1	YDR463W	2088	0		19.07	C2H2 ZF		PBM	22189060		6.57	0.602	GO:0005886	6.97	1.63	3.90	Add
STP1	YDR463W	305	0		8.06	C2H2 ZF		single site mutagenesis and knockout	15126393		2.35	0.546	GO:0005783	0.71	0.26	4.74	Add
STP1	YDR463W	448	0		7.60	C2H2 ZF		EMSA, site-turns-on-gene, one-hybrid, 	11212916		2.02	0.613	GO:0004721	0.49	0.13	4.96	Add
STP1	YDR463W	1124	0		4.14	C2H2 ZF		ChIP-chip	17500587		2.67	0.582	GO:0031505	1.07	0.40	0.00	Add
STP1	YDR463W	1720	0		3.89	C2H2 ZF		ChIP-chip	17947326		2.26	0.557	GO:0006520	1.43	0.20	0.00	Add
STP1	YDR463W	1263	0		3.53	C2H2 ZF		ChIP-chip	12399584		2.43	0.541	GO:0005515	0.97	0.13	0.00	Add
STP1	YDR463W	1890	0		3.32	C2H2 ZF		ChIP-chip	17947326		1.70	0.738	GO:0045182	1.24	0.38	0.00	Add
STP1	YDR463W	1125	0		2.54	C2H2 ZF		ChIP-chip	17500587		2.01	0.465	GO:0006464	0.34	0.19	0.00	Add
STE12	YHR084W	894	0		39.19	STE		ChIP-chip	18325926		3.37	0.608	GO:0000746	20.98	8.35	6.49	Add
STE12	YHR084W	665	0		38.99	STE		ChIP-chip	16522208		5.29	0.639	GO:0000746	21.36	6.91	5.43	Add
STE12	YHR084W	1122	0		38.46	STE		ChIP-chip	17500587		5.44	0.642	GO:0000746	23.41	4.22	5.40	Add
STE12	YHR084W	2087	0		37.68	STE		PBM	22189060		4.71	0.631	GO:0000746	17.17	7.54	8.25	Add
STE12	YHR084W	1570	0		36.49	STE		ChIP-chip, conservation, combination of existing motifs	17130146		6.29	0.653	GO:0000746	16.87	8.28	5.06	Add
STE12	YHR084W	1120	0		34.91	STE		ChIP-chip	17500587		5.13	0.637	GO:0000746	18.84	5.37	5.57	Add
STE12	YHR084W	2022	0		30.58	STE		ChIP-chip	17947326		4.50	0.627	GO:0000746	13.78	7.44	4.85	Add
STE12	YHR084W	2019	0		29.58	STE		ChIP-chip	17947326		7.11	0.664	GO:0000746	14.09	4.15	4.23	Add
STE12	YHR084W	1571	0		29.42	STE		ChIP-chip, conservation, combination of existing motifs	17130146		6.11	0.651	GO:0000746	16.17	2.97	4.17	Add
STE12	YHR084W	1999	0		29.26	STE		ChIP-chip	17947326		6.16	0.652	GO:0000746	14.00	4.64	4.46	Add
STE12	YHR084W	1718	0		29.21	STE		ChIP-chip	17947326		6.07	0.612	GO:0005933	21.03	2.12	0.00	Add
STE12	YHR084W	2030	0		28.95	STE		ChIP-chip	17947326		4.54	0.587	GO:0030427	22.82	1.59	0.00	Add
STE12	YHR084W	2023	0		28.49	STE		ChIP-chip	17947326		4.95	0.634	GO:0000746	13.90	5.17	4.48	Add
STE12	YHR084W	1121	0		28.22	STE		ChIP-chip	17500587		3.48	0.610	GO:0000746	20.38	1.97	2.39	Add
STE12	YHR084W	2029	0		28.10	STE		ChIP-chip	17947326		6.06	0.612	GO:0005933	20.24	1.80	0.00	Add
STE12	YHR084W	2026	0		25.71	STE		ChIP-chip	17947326		2.73	0.571	GO:0005933	21.92	1.05	0.00	Add
STE12	YHR084W	563	0		24.62	STE		PBM	19111667		4.26	0.584	GO:0030427	7.74	5.35	7.27	Add
STE12	YHR084W	2018	0		24.26	STE		ChIP-chip	17947326		6.14	0.613	GO:0005933	15.86	2.25	0.00	Add
STE12	YHR084W	2016	0		22.59	STE		ChIP-chip	17947326		4.96	0.591	GO:0030427	9.75	3.27	4.61	Add
STE12	YHR084W	1123	0		22.05	STE		ChIP-chip	17500587		4.12	0.621	GO:0000746	5.92	4.60	7.41	Add
STE12	YHR084W	2021	0		19.55	STE		ChIP-chip	17947326		2.54	0.627	GO:0006766	9.82	2.45	4.75	Add
STE12	YHR084W	2017	0		17.32	STE		ChIP-chip	17947326		2.71	0.595	GO:0000746	7.52	2.24	4.84	Add
STE12	YHR084W	1717	0		16.70	STE		ChIP-chip	17947326		4.85	0.633	GO:0000746	5.55	1.38	4.92	Add
STE12	YHR084W	2034	0		15.49	STE		ChIP-chip	17947326		2.23	0.402	GO:0004386	7.66	0.33	5.27	Add
STE12	YHR084W	2027	0		15.39	STE		ChIP-chip	17947326		3.14	0.572	GO:0005773	11.67	0.57	0.00	Add
STE12	YHR084W	2024	0		15.39	STE		ChIP-chip	17947326		3.14	0.572	GO:0005773	11.67	0.57	0.00	Add
STE12	YHR084W	1312	0		14.57	STE		Conservation	12748633		5.88	0.647	GO:0000746	1.46	0.95	6.28	Add
STE12	YHR084W	2032	0		13.69	STE		ChIP-chip	17947326		6.11	0.543	GO:0005634	6.67	0.91	0.00	Add
STE12	YHR084W	2057	0		13.24	STE		alignments of various mapped sites	10487868		1.86	0.454	GO:0016044	5.64	1.42	4.32	Add
STE12	YHR084W	2033	0		12.71	STE		ChIP-chip	17947326		2.65	0.394	GO:0016050	4.59	0.60	4.87	Add
STE12	YHR084W	2020	0		11.72	STE		ChIP-chip	17947326		1.89	0.542	GO:0012505	5.51	0.63	3.69	Add
STE12	YHR084W	2028	0		6.05	STE		ChIP-chip	17947326		2.40	0.601	GO:0005618	2.92	0.72	0.00	Add
STE12	YHR084W	2025	0		5.13	STE		ChIP-chip	17947326		2.36	0.466	GO:0016787	2.43	0.35	0.00	Add
STE12	YHR084W	2015	0		4.92	STE		ChIP-chip	17947326		2.49	0.531	GO:0005739	2.06	0.37	0.00	Add
STE12	YHR084W	2031	0		4.76	STE		ChIP-chip	17947326		2.51	0.442	GO:0005730	1.25	1.00	0.00	Add
STE12	YHR084W	1889	0		4.57	STE		ChIP-chip	17947326		2.46	0.546	GO:0005575	1.66	0.45	0.00	Add
STE12	YHR084W	1719	0		4.53	STE		ChIP-chip	17947326		2.47	0.452	GO:0005783	1.59	0.47	0.00	Add
STE12	YHR084W	2035	0		4.36	STE		ChIP-chip	17947326		2.37	0.470	GO:0005739	1.41	0.58	0.00	Add
STE12	YHR084W	1262	0		3.55	STE		ChIP-chip	12399584		2.21	0.547	GO:0005215	0.91	0.43	0.00	Add
STE12	YHR084W	2000	0		3.43	STE		ChIP-chip	17947326		2.22	0.528	GO:0016070	0.76	0.45	0.00	Add
STB6	YKL072W	1888	0		4.05			ChIP-chip	17947326	Dubious	2.28	0.439	GO:0044257	1.76	0.01	0.00	Add
STB5	YHR178W	370	0		16.60	Zinc cluster		ChIP-chip	15343339		2.25	0.568	GO:0051186	5.83	0.57	7.95	Add
STB5	YHR178W	514	0		14.14	Zinc cluster		PBM	19111667		4.25	0.580	GO:0016491	2.29	2.31	5.29	Add
STB5	YHR178W	1403	0		13.95	Zinc cluster		MITOMI	20802496		4.47	0.582	GO:0016491	0.98	5.15	3.35	Add
STB5	YHR178W	2086	0		13.70	Zinc cluster		PBM	22189060		2.91	0.564	GO:0016491	3.82	0.26	6.70	Add
STB5	YHR178W	1404	0		13.12	Zinc cluster		MITOMI	20802496		4.38	0.581	GO:0016491	1.10	5.15	2.49	Add
STB5	YHR178W	707	0		12.92	Zinc cluster		ChIP-chip	16522208		2.56	0.560	GO:0044262	3.55	0.28	6.52	Add
STB5	YHR178W	1887	0		10.08	Zinc cluster		ChIP-chip	17947326		2.81	0.578	GO:0051186	1.84	0.10	5.33	Add
STB5	YHR178W	1569	0		9.55	Zinc cluster		ChIP-chip, conservation, combination of existing motifs	17130146		2.32	0.289	GO:0003774	0.94	0.16	6.12	Add
STB5	YHR178W	2108	0		8.45	Zinc cluster		PBM	22189060		3.43	0.570	GO:0005886	0.40	1.47	3.15	Add
STB5	YHR178W	1119	0		8.43	Zinc cluster		ChIP-chip	17500587		1.70	0.586	GO:0016779	0.05	0.60	6.08	Add
STB5	YHR178W	301	0		6.23	Zinc cluster		EMSA, single site mutagenesis	11943786		2.25	0.539	GO:0005783	0.42	0.99	2.56	Add
STB4	YMR019W	676	0		9.74	Zinc cluster		ChIP-chip	16522208		2.80	0.472	GO:0005634	1.27	2.41	3.26	Add
STB4	YMR019W	399	0		9.70	Zinc cluster		ChIP-chip	15343339		2.79	0.472	GO:0005634	1.25	2.40	3.26	Add
STB4	YMR019W	1568	0		8.79	Zinc cluster		ChIP-chip, conservation, combination of existing motifs	17130146		3.64	0.573	GO:0016491	0.16	0.62	4.36	Add
STB4	YMR019W	2085	0		8.38	Zinc cluster		PBM	22189060		2.28	0.548	GO:0005215	0.65	1.81	3.63	Add
STB4	YMR019W	1118	0		8.10	Zinc cluster		ChIP-chip	17500587		2.60	0.599	GO:0045333	0.53	1.31	3.66	Add
STB4	YMR019W	483	0		7.43	Zinc cluster		PBM	19111667		2.34	0.549	GO:0005215	0.41	1.22	3.46	Add
STB4	YMR019W	1886	0		3.70	Zinc cluster		ChIP-chip	17947326		2.11	0.399	GO:0007033	1.08	0.51	0.00	Add
STB3	YDR169C	810	0		47.08			PBM	19158363		37.59	0.756	GO:0005730	0.00	4.45	5.04	Add
STB2	YMR053C	1885	0		6.07	Glucocorticoid receptor-like (DNA-binding domain)		ChIP-chip	17947326	Dubious	1.54	0.556	GO:0019725	1.94	2.59	0.00	Add
STB2	YMR053C	1117	0		6.00	Glucocorticoid receptor-like (DNA-binding domain)		ChIP-chip	17500587	Dubious	3.13	0.327	GO:0004871	1.21	1.65	0.00	Add
STB1	YNL309W	391	0		61.44			ChIP-chip	15343339	Dubious	5.74	0.584	GO:0005694	54.70	0.99	0.00	Add
STB1	YNL309W	592	0		29.23			ChIP-chip	16522208	Dubious	4.47	0.645	GO:0005618	24.33	0.43	0.00	Add
STB1	YNL309W	1116	0		26.86			ChIP-chip	17500587	Dubious	3.92	0.635	GO:0005618	22.40	0.54	0.00	Add
STB1	YNL309W	1567	0		26.06			ChIP-chip, conservation, combination of existing motifs	17130146	Dubious	5.33	0.566	GO:0007049	20.67	0.06	0.00	Add
STB1	YNL309W	1261	0		2.78			ChIP-chip	12399584	Dubious	2.30	0.443	GO:0006520	0.09	0.39	0.00	Add
STB1	YNL309W	1884	0		2.64			ChIP-chip	17947326	Dubious	2.04	0.547	GO:0007005	0.37	0.23	0.00	Add
SRD1	YCR018C	530	0		9.19	GATA		PBM	19111667		3.50	0.578	GO:0005856	0.71	0.00	4.98	Add
SRD1	YCR018C	2173	0		8.81	GATA		PBM	19997485		3.89	0.582	GO:0005856	0.24	0.00	4.67	Add
SRD1	YCR018C	851	0		7.86	GATA		PBM	19158363		2.99	0.571	GO:0005856	0.61	0.00	4.26	Add
SRD1	YCR018C	1883	0		3.76	GATA		ChIP-chip	17947326		2.81	0.538	GO:0016787	0.95	0.00	0.00	Add
SRD1	YCR018C	1115	0		2.60	GATA		ChIP-chip	17500587		1.90	0.403	GO:0016853	0.70	0.00	0.00	Add
SPT23	YKL020C	388	0		14.48	TIG		ChIP-chip	15343339	Dubious	5.04	0.461	GO:0005737	6.20	3.24	0.00	Add
SPT23	YKL020C	1113	0		2.63	TIG		ChIP-chip	17500587	Dubious	2.10	0.587	GO:0045333	0.47	0.06	0.00	Add
SPT23	YKL020C	1881	0		1.95	TIG		ChIP-chip	17947326	Dubious	1.65	0.547	GO:0030528	0.23	0.08	0.00	Add
SPT2	YER161C	702	0		4.12	Lambda repressor		ChIP-chip	16522208	Dubious	2.32	0.431	GO:0051186	0.94	0.86	0.00	Add
SPT2	YER161C	1882	0		2.76	Lambda repressor		ChIP-chip	17947326	Dubious	1.36	0.550	GO:0051186	1.04	0.37	0.00	Add
SPT2	YER161C	414	0		1.57	Lambda repressor		ChIP-chip	15343339	Dubious	1.44	0.465	GO:0042254	0.02	0.11	0.00	Add
SPT15	YER148W	2172	0		21.15	TBP		PBM	19997485		7.50	0.408	GO:0042254	7.17	4.94	1.54	Add
SPT15	YER148W	1566	0		15.43	TBP		ChIP-chip, conservation, combination of existing motifs	17130146		5.63	0.594	GO:0016491	0.34	5.23	4.23	Add
SPT15	YER148W	2056	0		15.16	TBP		alignments of various mapped sites	10487868		5.76	0.451	GO:0016070	1.17	3.26	4.96	Add
SPT15	YER148W	1326	0		7.68	TBP		TIRF-PBM	19487241		2.68	0.394	GO:0008289	0.22	1.04	3.74	Add
SPT10	YJL127C	1322	0		4.11	C2H2 ZF		ChIP, EMSA	16199888		2.66	0.577	GO:0006091	1.15	0.30	0.00	Add
SOK2	YMR016C	1716	0		21.95	APSES		ChIP-chip	17947326		2.71	0.432	GO:0044257	16.30	2.94	0.00	Add
SOK2	YMR016C	579	0		19.48	APSES		PBM	19111667		1.82	0.569	GO:0007126	11.64	1.42	4.60	Add
SOK2	YMR016C	697	0		17.15	APSES		ChIP-chip	16522208		2.39	0.469	GO:0006810	13.53	1.23	0.00	Add
SOK2	YMR016C	1112	0		5.85	APSES		ChIP-chip	17500587		2.54	0.693	GO:0005576	3.14	0.18	0.00	Add
SOK2	YMR016C	1879	0		5.62	APSES		ChIP-chip	17947326		1.52	0.551	GO:0016874	3.81	0.29	0.00	Add
SOK2	YMR016C	1260	0		2.53	APSES		ChIP-chip	12399584		2.06	0.399	GO:0007031	0.18	0.29	0.00	Add
SNT2	YGL131C	413	0		11.65	Myb/SANT		ChIP-chip	15343339	Dubious	1.95	0.552	GO:0006520	8.62	1.08	0.00	Add
SNT2	YGL131C	1565	0		5.81	Myb/SANT		ChIP-chip, conservation, combination of existing motifs	17130146	Dubious	2.42	0.418	GO:0007126	3.20	0.19	0.00	Add
SNT2	YGL131C	1878	0		3.95	Myb/SANT		ChIP-chip	17947326	Dubious	2.11	0.442	GO:0044257	1.39	0.45	0.00	Add
SNT2	YGL131C	1111	0		3.50	Myb/SANT		ChIP-chip	17500587	Dubious	2.00	0.427	GO:0007126	1.49	0.01	0.00	Add
SNF1	YDR477W	622	0		3.88			ChIP-chip	16522208	Dubious	1.70	0.567	GO:0016023	1.09	1.09	0.00	Add
SNF1	YDR477W	1877	0		3.69			ChIP-chip	17947326	Dubious	2.82	0.458	GO:0006350	0.18	0.70	0.00	Add
SMP1	YBR182C	2171	0		31.28	MADS box		PBM	19997485		5.31	0.424	GO:0042254	21.88	0.74	3.35	Add
SMP1	YBR182C	890	0		15.51	MADS box		ChIP-chip	18325926		2.07	0.414	GO:0045333	12.79	0.65	0.00	Add
SMP1	YBR182C	666	0		15.31	MADS box		ChIP-chip	16522208		3.59	0.628	GO:0005618	4.74	0.29	6.70	Add
SMP1	YBR182C	1448	0		13.66	MADS box		ChIP-chip, structural prior	17438293		4.14	0.434	GO:0005840	5.31	0.87	3.33	Add
SMP1	YBR182C	1427	0		10.56	MADS box		EMSA, in vitro selection	9121433		2.62	0.551	GO:0005198	0.50	0.10	7.35	Add
SMP1	YBR182C	1876	0		6.58	MADS box		ChIP-chip	17947326		1.66	0.562	GO:0004672	4.17	0.75	0.00	Add
SMP1	YBR182C	1109	0		5.00	MADS box		ChIP-chip	17500587		2.74	0.384	GO:0006997	1.22	1.04	0.00	Add
SMP1	YBR182C	1259	0		4.02	MADS box		ChIP-chip	12399584		2.07	0.572	GO:0031505	1.12	0.84	0.00	Add
SMK1	YPR054W	1108	0		3.27			ChIP-chip	17500587	Dubious	2.29	0.545	GO:0005783	0.98	0.01	0.00	Add
SKO1	YNL167C	1400	0		33.86	bZIP		MITOMI	20802496		2.10	0.572	GO:0004672	20.43	5.85	5.47	Add
SKO1	YNL167C	668	0		32.75	bZIP		ChIP-chip	16522208		2.19	0.455	GO:0005840	20.37	4.71	5.49	Add
SKO1	YNL167C	1402	0		32.59	bZIP		MITOMI	20802496		3.79	0.437	GO:0005840	18.79	4.24	5.77	Add
SKO1	YNL167C	1489	0		31.26	bZIP		ChIP-chip, structural prior	17438293		3.79	0.422	GO:0030427	18.83	2.69	5.94	Add
SKO1	YNL167C	2084	0		24.98	bZIP		PBM	22189060		1.92	0.449	GO:0007010	12.31	5.69	5.06	Add
SKO1	YNL167C	1107	0		20.90	bZIP		ChIP-chip	17500587		2.98	0.413	GO:0005938	12.62	2.13	3.17	Add
